circuit_id,true_reliability,scenario,workflow_domain,workflow_criticality,ambiguous_goal,tool_failure,missing_fraction,scenario_injected,probability_high,probability_low,probability_medium,predicted_reliability,model_confidence,reliability_risk,predictive_uncertainty,distribution_shift_risk,verification_risk,resource_complexity_risk,risk_score,dominant_risk_driver,oracle_action,action__Fully Autonomous,action__Always Human,action__Confidence Only,action__Criticality Only,action__Verifier Only,action__HumanGate-Q
circuit_000008,LOW,ambiguous_goal,financial_optimization,0.7991275361815313,1,0,0.0,1,9.190826094381201e-05,0.9991580830169456,0.0007500087221105952,LOW,0.9991580830169456,0.9994955869418954,0.006455831701212017,0.0,0.6,0.16666666666666666,0.7717046398088113,reliability_risk,ABSTAIN,EXECUTE,ASK_HUMAN,ABSTAIN,ASK_HUMAN,ASK_HUMAN,ABSTAIN
circuit_000028,MEDIUM,metadata_missing,education_demo,0.2701708493102407,0,0,0.21428571428571427,1,0.00593091334219228,0.18717474520133276,0.806894341456475,MEDIUM,0.806894341456475,0.5502771988567465,0.470768086621385,0.0,0.6428571428571428,0.2492857142857143,0.4766398613588491,reliability_risk,ASK_HUMAN,EXECUTE,ASK_HUMAN,EXECUTE,EXECUTE,ASK_HUMAN,ASK_HUMAN
circuit_000034,LOW,clean,financial_optimization,0.8360450579005594,0,0,0.0,0,1.693812580572467e-05,0.9998605051494694,0.00012255672472474092,LOW,0.9998605051494694,0.9999156556755956,0.0013011205821178045,0.12718303897588934,0.0,0.6584589947089947,0.6653942798659928,reliability_risk,ABSTAIN,EXECUTE,ASK_HUMAN,ABSTAIN,ASK_HUMAN,EXECUTE,ABSTAIN
circuit_000046,LOW,clean,health_research,0.9200075686860778,0,0,0.0,0,2.2538533951017573e-05,0.9997493519514893,0.00022810951455967644,LOW,0.9997493519514893,0.9998520012330412,0.0021887974901723113,0.009478601680678933,0.0,0.5635714285714286,0.6705446374329154,reliability_risk,ABSTAIN,EXECUTE,ASK_HUMAN,ABSTAIN,ASK_HUMAN,EXECUTE,ABSTAIN
circuit_000057,HIGH,clean,logistics_optimization,0.6321201646559246,0,0,0.0,0,0.9930396939747075,0.0004065724582237516,0.006553733567068615,HIGH,0.9930396939747075,0.0033557525634046285,0.03919561289446104,0.02645474398854919,0.0,0.0,0.09383432870835788,workflow_criticality,EXECUTE,EXECUTE,ASK_HUMAN,EXECUTE,EXECUTE,EXECUTE,EXECUTE
circuit_000062,HIGH,clean,cryptographic_analysis,0.8952340873533372,0,0,0.0,0,0.4899344853516665,0.004138710597535417,0.505926804050798,MEDIUM,0.505926804050798,0.23180577242039455,0.6526331564296144,0.0,0.0,0.0,0.34581376553698767,workflow_criticality,EXECUTE,EXECUTE,ASK_HUMAN,ASK_HUMAN,ASK_HUMAN,EXECUTE,ASK_HUMAN
circuit_000064,HIGH,clean,financial_optimization,0.7725525618095918,0,0,0.0,0,0.7471270186833228,0.002007370321540735,0.25086561099513643,HIGH,0.7471270186833228,0.11489689526935214,0.5253688100236726,0.23742744882800482,0.0,0.24189814814814814,0.29131540166124914,workflow_criticality,EXECUTE,EXECUTE,ASK_HUMAN,EXECUTE,ASK_HUMAN,EXECUTE,SELF_REPAIR
circuit_000082,LOW,distribution_shift,materials_discovery,0.8001414804301608,0,0,0.0,1,3.272493813892502e-05,0.9997443782734463,0.0002228967884147666,LOW,0.9997443782734463,0.9998446818282329,0.0022463307794137587,0.4985770276552044,0.45,1.0,0.8455729308958673,reliability_risk,ABSTAIN,EXECUTE,ASK_HUMAN,ABSTAIN,ASK_HUMAN,ASK_HUMAN,ABSTAIN
circuit_000085,HIGH,clean,education_demo,0.29251599717021537,0,0,0.0,0,0.019575389183256284,0.20738064252588637,0.7730439682908573,MEDIUM,0.7730439682908573,0.5552504282567722,0.5481888503553733,0.0,0.0,0.47776785714285713,0.3834584393971125,reliability_risk,EXECUTE,EXECUTE,ASK_HUMAN,EXECUTE,EXECUTE,EXECUTE,SELF_REPAIR
circuit_000090,LOW,distribution_shift,cryptographic_analysis,0.8972557838463336,0,0,0.0,1,3.393324240101442e-05,0.9996031869955069,0.00036287976209201746,LOW,0.9996031869955069,0.9997664828884483,0.003295498438907956,0.0830172944028057,0.45,0.8418650793650794,0.8184213497303092,reliability_risk,ABSTAIN,EXECUTE,ASK_HUMAN,ABSTAIN,ASK_HUMAN,ASK_HUMAN,ABSTAIN
circuit_000105,MEDIUM,clean,logistics_optimization,0.6951886551774171,0,0,0.0,0,0.002113335931631242,0.10208175115880609,0.8958049129095627,MEDIUM,0.8958049129095627,0.5051939619681093,0.3136078851362326,0.05712685614512503,0.0,0.46035052910052904,0.418770195364345,reliability_risk,ASK_HUMAN,EXECUTE,ASK_HUMAN,EXECUTE,EXECUTE,EXECUTE,SELF_REPAIR
circuit_000113,LOW,tool_failure,logistics_optimization,0.6785590369402618,0,1,0.0,1,1.9389062360195258e-05,0.9998621701727533,0.00011844076488668945,LOW,0.9998621701727533,0.9999154685169522,0.0012916674277169873,0.0373787416896455,1.0,0.7055026455026455,0.95,reliability_risk,ABSTAIN,EXECUTE,ASK_HUMAN,ABSTAIN,EXECUTE,ABSTAIN,ABSTAIN
circuit_000126,LOW,clean,materials_discovery,0.7696114740871285,0,0,0.0,0,1.5785926393300076e-05,0.999839871095577,0.0001443429780296923,LOW,0.999839871095577,0.9999048254356904,0.0014665067785281849,0.0,0.0,0.5520502645502646,0.621905383356255,reliability_risk,ABSTAIN,EXECUTE,ASK_HUMAN,ABSTAIN,ASK_HUMAN,EXECUTE,ABSTAIN
circuit_000138,MEDIUM,clean,education_demo,0.25678290207606314,0,0,0.0,0,0.21510388885893236,0.03341898149629719,0.7514771296447705,MEDIUM,0.7514771296447705,0.3715836898364439,0.5996862588826996,0.0,0.0,0.016666666666666666,0.2835576736059626,reliability_risk,SELF_REPAIR,EXECUTE,ASK_HUMAN,EXECUTE,EXECUTE,EXECUTE,SELF_REPAIR
